analysis_id,result_id,contrast_id,hypothesis,dandiset_version,code_version,seed,analysis_tier,inclusion_definition,missingness_stratum,estimate,scale,ci_low,ci_high,confidence_level,ci_method,test_statistic,test_method,p_value,adjusted_p_value,adjustment_method,multiplicity_family,sidedness,n_mice,n_sessions,n_probes,n_units,n_trials,aggregation,bootstrap_id,model_formula,cv_grouping,status,reason
anatomical_axis_enrichment,absolute_loading__MB,absolute_loading_region_minus_session_population__MB,Absolute reward-state-axis loading differs in Midbrain relative to the same sessions' full well-isolated population,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1051,discovery,"behavior-eligible discovery sessions; quality good, isi violations <0.5, amplitude cutoff <0.1; finite Figure 2 axis weight; Allen CCFv3 official-major-division mapping; D04 not yet applied",region passes locked 5-mouse/8-session/median-10-unit coverage,0.011421539583172904,within-session standardized decoder coefficient,-0.08473683867907925,0.1325211581089848,0.95,mouse percentile bootstrap,0.011421539583172904,two-sided session-preserving anatomy-label permutation,0.7674232576742326,1.0,holm,anatomical_axis_region_screen,two-sided,10,14,20,1045,,region mean within session; equal sessions within mouse; equal mice,mouse_percentile_10000_seed_1052,axis_weight z-scored within session; absolute magnitude analyzed separately,inherits Figure 2 nested contiguous E1-vs-NR folds,pass,
anatomical_axis_enrichment,absolute_loading__Isocortex,absolute_loading_region_minus_session_population__Isocortex,Absolute reward-state-axis loading differs in Isocortex relative to the same sessions' full well-isolated population,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1051,discovery,"behavior-eligible discovery sessions; quality good, isi violations <0.5, amplitude cutoff <0.1; finite Figure 2 axis weight; Allen CCFv3 official-major-division mapping; D04 not yet applied",region passes locked 5-mouse/8-session/median-10-unit coverage,0.08820311529059122,within-session standardized decoder coefficient,0.06692304910023283,0.10884469120232745,0.95,mouse percentile bootstrap,0.08820311529059122,two-sided session-preserving anatomy-label permutation,0.00009999000099990002,0.000999900009999,holm,anatomical_axis_region_screen,two-sided,12,23,121,10069,,region mean within session; equal sessions within mouse; equal mice,mouse_percentile_10000_seed_1053,axis_weight z-scored within session; absolute magnitude analyzed separately,inherits Figure 2 nested contiguous E1-vs-NR folds,pass,
anatomical_axis_enrichment,absolute_loading__STR,absolute_loading_region_minus_session_population__STR,Absolute reward-state-axis loading differs in Striatum relative to the same sessions' full well-isolated population,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1051,discovery,"behavior-eligible discovery sessions; quality good, isi violations <0.5, amplitude cutoff <0.1; finite Figure 2 axis weight; Allen CCFv3 official-major-division mapping; D04 not yet applied",region passes locked 5-mouse/8-session/median-10-unit coverage,0.19017673817711558,within-session standardized decoder coefficient,0.06629439352643351,0.2937565288225857,0.95,mouse percentile bootstrap,0.19017673817711558,two-sided session-preserving anatomy-label permutation,0.00009999000099990002,0.000999900009999,holm,anatomical_axis_region_screen,two-sided,11,20,28,2046,,region mean within session; equal sessions within mouse; equal mice,mouse_percentile_10000_seed_1054,axis_weight z-scored within session; absolute magnitude analyzed separately,inherits Figure 2 nested contiguous E1-vs-NR folds,pass,
anatomical_axis_enrichment,absolute_loading__TH,absolute_loading_region_minus_session_population__TH,Absolute reward-state-axis loading differs in Thalamus relative to the same sessions' full well-isolated population,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1051,discovery,"behavior-eligible discovery sessions; quality good, isi violations <0.5, amplitude cutoff <0.1; finite Figure 2 axis weight; Allen CCFv3 official-major-division mapping; D04 not yet applied",region passes locked 5-mouse/8-session/median-10-unit coverage,-0.27267137409877945,within-session standardized decoder coefficient,-0.30132975570867676,-0.2425455665105474,0.95,mouse percentile bootstrap,0.27267137409877945,two-sided session-preserving anatomy-label permutation,0.00009999000099990002,0.000999900009999,holm,anatomical_axis_region_screen,two-sided,12,23,65,3714,,region mean within session; equal sessions within mouse; equal mice,mouse_percentile_10000_seed_1055,axis_weight z-scored within session; absolute magnitude analyzed separately,inherits Figure 2 nested contiguous E1-vs-NR folds,pass,
anatomical_axis_enrichment,absolute_loading__HPF,absolute_loading_region_minus_session_population__HPF,Absolute reward-state-axis loading differs in Hippocampal formation relative to the same sessions' full well-isolated population,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1051,discovery,"behavior-eligible discovery sessions; quality good, isi violations <0.5, amplitude cutoff <0.1; finite Figure 2 axis weight; Allen CCFv3 official-major-division mapping; D04 not yet applied",region passes locked 5-mouse/8-session/median-10-unit coverage,-0.08060396205748584,within-session standardized decoder coefficient,-0.1262619924325322,-0.03183953386732156,0.95,mouse percentile bootstrap,0.08060396205748584,two-sided session-preserving anatomy-label permutation,0.0004999500049995,0.0034996500349965005,holm,anatomical_axis_region_screen,two-sided,12,23,64,2727,,region mean within session; equal sessions within mouse; equal mice,mouse_percentile_10000_seed_1056,axis_weight z-scored within session; absolute magnitude analyzed separately,inherits Figure 2 nested contiguous E1-vs-NR folds,pass,
anatomical_axis_enrichment,signed_loading__MB,signed_loading_region_minus_session_population__MB,Signed E1-versus-NR axis loading differs in Midbrain relative to the same sessions' full well-isolated population,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1051,discovery,"behavior-eligible discovery sessions; quality good, isi violations <0.5, amplitude cutoff <0.1; finite Figure 2 axis weight; Allen CCFv3 official-major-division mapping; D04 not yet applied",region passes locked 5-mouse/8-session/median-10-unit coverage,0.06856778104441189,within-session standardized decoder coefficient,0.0008963706843060248,0.13887062207199183,0.95,mouse percentile bootstrap,0.06856778104441189,two-sided session-preserving anatomy-label permutation,0.0740925907409259,0.2963703629637036,holm,anatomical_axis_region_screen,two-sided,10,14,20,1045,,region mean within session; equal sessions within mouse; equal mice,mouse_percentile_10000_seed_1057,axis_weight z-scored within session; absolute magnitude analyzed separately,inherits Figure 2 nested contiguous E1-vs-NR folds,pass,
anatomical_axis_enrichment,signed_loading__Isocortex,signed_loading_region_minus_session_population__Isocortex,Signed E1-versus-NR axis loading differs in Isocortex relative to the same sessions' full well-isolated population,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1051,discovery,"behavior-eligible discovery sessions; quality good, isi violations <0.5, amplitude cutoff <0.1; finite Figure 2 axis weight; Allen CCFv3 official-major-division mapping; D04 not yet applied",region passes locked 5-mouse/8-session/median-10-unit coverage,0.016884517747306652,within-session standardized decoder coefficient,0.005011110544100174,0.02860592798252244,0.95,mouse percentile bootstrap,0.016884517747306652,two-sided session-preserving anatomy-label permutation,0.03849615038496151,0.23097690230976903,holm,anatomical_axis_region_screen,two-sided,12,23,121,10069,,region mean within session; equal sessions within mouse; equal mice,mouse_percentile_10000_seed_1058,axis_weight z-scored within session; absolute magnitude analyzed separately,inherits Figure 2 nested contiguous E1-vs-NR folds,pass,
anatomical_axis_enrichment,signed_loading__STR,signed_loading_region_minus_session_population__STR,Signed E1-versus-NR axis loading differs in Striatum relative to the same sessions' full well-isolated population,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1051,discovery,"behavior-eligible discovery sessions; quality good, isi violations <0.5, amplitude cutoff <0.1; finite Figure 2 axis weight; Allen CCFv3 official-major-division mapping; D04 not yet applied",region passes locked 5-mouse/8-session/median-10-unit coverage,-0.06428446003950908,within-session standardized decoder coefficient,-0.1388067176064983,0.024341986284506276,0.95,mouse percentile bootstrap,0.06428446003950908,two-sided session-preserving anatomy-label permutation,0.0400959904009599,0.23097690230976903,holm,anatomical_axis_region_screen,two-sided,11,20,28,2046,,region mean within session; equal sessions within mouse; equal mice,mouse_percentile_10000_seed_1059,axis_weight z-scored within session; absolute magnitude analyzed separately,inherits Figure 2 nested contiguous E1-vs-NR folds,pass,
anatomical_axis_enrichment,signed_loading__TH,signed_loading_region_minus_session_population__TH,Signed E1-versus-NR axis loading differs in Thalamus relative to the same sessions' full well-isolated population,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1051,discovery,"behavior-eligible discovery sessions; quality good, isi violations <0.5, amplitude cutoff <0.1; finite Figure 2 axis weight; Allen CCFv3 official-major-division mapping; D04 not yet applied",region passes locked 5-mouse/8-session/median-10-unit coverage,-0.017537357423058005,within-session standardized decoder coefficient,-0.06154980763191007,0.03594539673426874,0.95,mouse percentile bootstrap,0.017537357423058005,two-sided session-preserving anatomy-label permutation,0.3190680931906809,0.9572042795720428,holm,anatomical_axis_region_screen,two-sided,12,23,65,3714,,region mean within session; equal sessions within mouse; equal mice,mouse_percentile_10000_seed_1060,axis_weight z-scored within session; absolute magnitude analyzed separately,inherits Figure 2 nested contiguous E1-vs-NR folds,pass,
anatomical_axis_enrichment,signed_loading__HPF,signed_loading_region_minus_session_population__HPF,Signed E1-versus-NR axis loading differs in Hippocampal formation relative to the same sessions' full well-isolated population,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1051,discovery,"behavior-eligible discovery sessions; quality good, isi violations <0.5, amplitude cutoff <0.1; finite Figure 2 axis weight; Allen CCFv3 official-major-division mapping; D04 not yet applied",region passes locked 5-mouse/8-session/median-10-unit coverage,-0.010451654340018547,within-session standardized decoder coefficient,-0.03755274721181414,0.014573228432656337,0.95,mouse percentile bootstrap,0.010451654340018547,two-sided session-preserving anatomy-label permutation,0.6488351164883511,1.0,holm,anatomical_axis_region_screen,two-sided,12,23,64,2727,,region mean within session; equal sessions within mouse; equal mice,mouse_percentile_10000_seed_1061,axis_weight z-scored within session; absolute magnitude analyzed separately,inherits Figure 2 nested contiguous E1-vs-NR folds,pass,
